,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phantom_Shadow,Sleepy_Fly,_KoYoT_,KG_Politruk,IncertuS,Amonagil,Max_B,Dato,Ko3ak_CIPKO,mihail_fernyuk,,Summ,,,,,,,,,,,,
,Phantom_Shadow,,-1,1,1,1,1,1,-1,1,1,Phantom_Shadow,5,,,IncertuS,7,,,,,,,, 
,Sleepy_Fly,1,,1,0,-1,-1,1,1,1,1,Sleepy_Fly,4,,,Phantom_Shadow,5,,,,,,,,
,_KoYoT_,-1,-1,,1,-1,-1,1,-1,1,1,_KoYoT_,-1,,,Sleepy_Fly,4,,,,,,,,
,KG_Politruk,-1,0,-1,,-1,-1,1,1,-1,-1,KG_Politruk,-4,,,Amonagil,3,,,,,,,,
,IncertuS,-1,1,1,1,,1,1,1,1,1,IncertuS,7,,,_KoYoT_,-1,,,,,,,,
,Amonagil,-1,1,1,1,-1,,1,0,0,1,Amonagil,3,,,Dato,-1,,,,,,,,
,Max_B,-1,-1,-1,-1,-1,-1,,0,-1,-1,Max_B,-8,,,Ko3ak_CIPKO,-2,,,,,,,,
,Dato,1,-1,1,-1,-1,0,0,,1,-1,Dato,-1,,,mihail_fernyuk,-3,,,,,,,,
,Ko3ak_CIPKO,-1,-1,-1,1,-1,0,1,-1,,1,Ko3ak_CIPKO,-2,,,KG_Politruk,-4,,,,,,,,
,mihail_fernyuk,-1,-1,-1,1,-1,-1,1,1,-1,,mihail_fernyuk,-3,,,Max_B,-8,,,,,,,,
